,Time	,User	,Tweet	
0,2023-03-19 03:44:00+00:00,rnxclaws,"RT @teumeunion: Day2 and we can still feel the adrenaline rush!! 🔥🔥

Let's get ready to have fun, shall we??!! 🤩

HELLO TREASURE DI JAKARTA…"
1,2023-03-19 03:43:56+00:00,just_lovelt,"RT @ygtreasuremaker: [#HI_TREASUREMAKER💎📸]

TREASURE [HELLO] ASIA TOUR💎
자카르타 팬사인회 종료!

트레저 메이커와
함께하는 시간은 언제나 행복🥰

오늘 자카르타 공연도
다들 행복할 준비됐죠?…"
2,2023-03-19 03:43:56+00:00,tuhau_bosou,"RT @hariznasir: Hello @MATTA_FAIR , how can you horribly misspell The Philippines in your marketing video?? https://t.co/j3Knrdhu2n"
3,2023-03-19 03:43:53+00:00,lemonadye,"RT @raraesthetics: Hyunsuk acting cute in front of Haruto?!?! HELP

#TREASURE_HELLOinJKT 
#HELLO_TOUR_IN_JAKARTA
#TREASURE_HELLO_ASIA_TOUR…"
4,2023-03-19 03:43:53+00:00,glitch_fish,HELLO&gt;&gt;?d!?!?! https://t.co/9AGYGUP6eW
5,2023-03-19 03:43:48+00:00,Hello_1109,"RT @GEORGIA_JAPAN: ／
どっちの
#デザートなジョージア が飲みたい？🧁
＼
① ＠GEORGIA_JAPAN をフォロー
②この投稿をRT
抽選で新製品1ケースが
100名様に当たる🎁

#ジョージアキャラメルアフォガートラテ
#ジョージアビターショコララテ…"
6,2023-03-19 03:43:46+00:00,William68057153,@JayKxli Hello are you still looking to buy tickets? I’ve got 2-4 tickets for sale
7,2023-03-19 03:43:45+00:00,Hunhan_nemoneem,"RT @wtnbaeruru: 230318 트레저 헬로 자카르타 콘서트
TREASURE HELLO in JAKARTA 

아니 이거 진짜야??! 루토야 진짜 진짜 구마워… 넘 사랑해 ㅠㅠ🤍

#HELLO_in_Jakarta
#TREASURE_HELLO…"
8,2023-03-19 03:43:45+00:00,BalooStyles,"RT @madamayo_: Hello
Na 30 followers I Dey see so? https://t.co/m2tj3k0Can"
9,2023-03-19 03:43:45+00:00,lilay30001572,"RT @gaia_04_gaia: Hello there DJ @OnAirRomeo of @MostRequestLive!

We greatly appreciate if you could please play our request #WYAT (Where…"
10,2023-03-19 03:43:44+00:00,selfolrps,"hello, yes yes, you can remind me anytime, i'm okay with that. 😆 my pleasure, i'm happy to see you show me somethin… https://t.co/6lAgZIhLdT"
11,2023-03-19 03:43:43+00:00,Fabrici64804407,"@MikWeigert Hello, can you do me a favor? You can talk about Disney so that they redouble their Mexican dubbing. I'… https://t.co/ICi4aanXTw"
12,2023-03-19 03:43:43+00:00,oct_moon999,"RT @celestiallex: ✨️— 2023.3.18   SS9 in Japan (Day 1)

Donghae's ment
DH: Hello everyone. My name is cold.
SW: Are you okay?? 🤣
Then every…"
13,2023-03-19 03:43:42+00:00,Iichtenstein,"@ssefnum Hello from another cat person. Do you perhaps have cats? Anyway, i'm currently need some affection. You ca… https://t.co/zM1xsqT6J2"
