,Time	,User	,Tweet	
0,2022-12-09 04:24:42+00:00,Raighar,It's worse than taking a big poop in a public restroom before you realize there's no tp.
1,2022-12-09 04:24:42+00:00,minamoto_poop,@kitoakari_1016 僕と君の部屋も一緒に掃除しようね❤
2,2022-12-09 04:24:34+00:00,demurertundra52,"RT @duolingo: Here’s a bird turd. After all, they say bird poop is good luck.

In honor of canceled flights, sudden coughs, and surging pri…"
3,2022-12-09 04:24:29+00:00,pee__poop,アーマードコアからダイパに飛び火してら
4,2022-12-09 04:24:21+00:00,MaryP190,@PageSix Meghan is full of dog poop!
5,2022-12-09 04:24:16+00:00,beartaeby_,"@tanyakanrl Meskipun aku suka kucing, tp kalo ada kucing tetangga yg maaf poop dipekarangan rumahku jga kesel. Alas… https://t.co/vJ883bPIea"
6,2022-12-09 04:24:02+00:00,MallowyGoodness,Holding in a poop for an hour because your grandfather just died and you're trying to be an emotional support to your mother
7,2022-12-09 04:24:01+00:00,minamoto_poop,"RT @kitoakari_1016: 大掃除‼️‼️‼️
もう年末だあ〜〜‼️‼️🧹🧼🧤"
8,2022-12-09 04:23:53+00:00,mattliptoncomic,@MoonBoyZack @fwrarebooks @themayfairdiner @stillgray “Before me the waiter placed a plate of grotesque pancakes ma… https://t.co/R97knjBFzc
9,2022-12-09 04:23:50+00:00,haircutsofthe,@poop_barf @WhiskeyMD247365 @thehill You shoved a chicken up your ass? They are more delicious the other way.
10,2022-12-09 04:23:46+00:00,Poop_Mansion,RT @GLOHeadcase: Still the most insane thing that the guy who punches moon landing deniers out read the script that says he went to the moo…
11,2022-12-09 04:23:44+00:00,shonnnnnna,"On this episode of Shonna in Kindergarten: 

Student 1: Ms.Garth my tummy is hurting

Student 2: MAYBE YOU HAVE TO… https://t.co/upA1iOqH6x"
12,2022-12-09 04:23:39+00:00,fullmoonprods,"RT @FordFischer: San Antonio police officer Matthew Luckhurst was fired for attempting to feed dog poop in a sandwich to a homeless man, re…"
