,Time	,User	,Tweet	
0,2023-03-19 03:54:43+00:00,HeyItsAnsh,"where’s the poop, robin?"
1,2023-03-19 03:51:20+00:00,Varan_the_Poop,@LivingFreeorDie @JackPosobiec To waste time and money?
2,2023-03-19 03:50:28+00:00,monkeybeanpie,@DDrake24 @KyungLahCNN @jasonkCNN @CNN Did you use the poop map app?
3,2023-03-19 03:45:37+00:00,geminemerald,He couldn't take people calling him fucking poop fartious⁉️⁉️😭😭 https://t.co/0pKbsNiGqQ
4,2023-03-19 03:41:14+00:00,CraigMcDonald_,"@joncoopertweets Oh, hello Mr. trump! Remember me? From housekeeping at mar-a-lago? Remember you mocked me and call… https://t.co/vATMOk0PTL"
5,2023-03-19 03:38:09+00:00,Varan_the_Poop,@coolhanmatt @PresidntTicTac @SayWhen70 @DonaldJTrumpJr So your saying God is paying back Trump for all his sins now?
6,2023-03-19 03:38:08+00:00,telliabear,"RT @cindyverycindy: #CanYouPleaseQuit
leaving your dog's poop? My apt managers are starting DNA gathering of all dogs so they can ID and fi…"
7,2023-03-19 03:36:12+00:00,senior_poop,@sr6rybh2ps @FluffyF61323022 @IAMKHET_RA @CFCA1_ @sneako Remember this? https://t.co/PwqQ2oMLY6
8,2023-03-19 03:33:40+00:00,hashtagshroomer,"RT @cindyverycindy: #CanYouPleaseQuit
leaving your dog's poop? My apt managers are starting DNA gathering of all dogs so they can ID and fi…"
9,2023-03-19 03:33:01+00:00,cindyverycindy,"#CanYouPleaseQuit
leaving your dog's poop? My apt managers are starting DNA gathering of all dogs so they can ID an… https://t.co/gHIJI0TEqQ"
10,2023-03-19 03:31:50+00:00,JoeyKenneySucks,"RT @nocontextscats: ""Are u done yet? not trying to be rude but I really need to poop now"" https://t.co/U6OZknvp6p"
11,2023-03-19 03:30:35+00:00,gunyon13,@MrMikeyDealz Your “0” ring cam? Poop Sleuth underwater surveillance?
